,bound,comp,comp_post_post,comp_post_prior,comp_prior_post,comp_prior_prior,mcallester,risk_post_post,risk_post_prior,risk_post_test,risk_prior_post,risk_prior_prior,risk_prior_test,seeger
alpha_post=628.3487915845371/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.1920174,5747.29638671875,142.62828,6731.892,21.330175,863.2974,0.5363194,0.22646667,0.2233,0.2215,0.039766666,0.0327,0.0352,0.529322232893152
alpha_post=628.3487915845371/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.0,-1117.141357421875,142.62828,511.5132,566.6591,2052.6855,0.22646667,0.22646667,0.2233,0.2215,0.90136665,0.90003335,0.8968,0.2264666727935895
alpha_post=8269.535156745107/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.05292979,1574.6683349609375,768.4184,2925.6633,280.7209,863.2974,0.25401366,0.09133333,0.09616667,0.0905,0.039766666,0.0327,0.0352,0.2125141648012092
alpha_post=8269.535156745107/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.16240257,4858.8515625,768.4184,222.30234,7457.6533,2052.6855,0.37629172,0.09133333,0.09616667,0.0905,0.90136665,0.90003335,0.8968,0.332636536307386
alpha_post=244.94897427831785/alpha_prior=244.94897427831785/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=lever/comp_post=risk/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.0002113606694852,-1.0,-1.0,-1.0,-1.0,-1.0,0.39319676,0.38291666,-1.0,0.3839,-1.0,-1.0,-1.0,0.3929428923700924
alpha_post=3833.6586254776325/alpha_prior=3833.6586254776325/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=lever/comp_post=risk/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.0012734137237036,-1.0,-1.0,-1.0,-1.0,-1.0,0.36889973,0.34366667,-1.0,0.3546,-1.0,-1.0,-1.0,0.3678853246188024
alpha_post=2279.5070569547775/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.0,-1011.944091796875,2052.8367,566.7635,653.502,179.37283,0.9001,0.9001,0.9015333,0.8999,0.28653333,0.28543332,0.283,0.9000999949850144
alpha_post=2279.5070569547775/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.15916185,4761.6298828125,2052.8367,7459.027,263.62436,908.18494,1.1822009,0.9001,0.9015333,0.8999,0.115666665,0.109966666,0.1061,0.9915045477365964
alpha_post=173.20508075688775/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.11696817,3495.81982421875,93.79638,4477.77,20.031118,908.18494,1.0805682,0.8387333,0.83956665,0.8366,0.115666665,0.109966666,0.1061,0.9616629992413196
alpha_post=969.0463085136714/alpha_prior=969.0463085136714/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=lever/comp_post=risk/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.0003536292646992,-1.0,-1.0,-1.0,-1.0,-1.0,0.31331384,0.30001667,-1.0,0.3013,-1.0,-1.0,-1.0,0.3122962196105139
