,bound,comp,comp_post_post,comp_post_prior,comp_prior_post,comp_prior_prior,mcallester,risk_post_post,risk_post_prior,risk_post_test,risk_prior_post,risk_prior_prior,risk_prior_test,seeger
alpha_post=8269.535156745107/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.024816776,731.27783203125,598.6481,11.9545965,1346.163,28.191662,0.3400596,0.22866666,0.22486667,0.2219,0.9163,0.9159333,0.9234,0.3301332929313636
alpha_post=8269.535156745107/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.0004802331,1.181610107421875,448.38004,9.400556,449.56998,9.408876,0.9129957,0.8975,0.8966,0.8992,0.91746664,0.91713333,0.9253,0.9066448481712376
alpha_post=30000.00000000001/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.13435923,4017.55126953125,532.57916,41.493607,4879.4287,370.79196,0.3269236,0.06773333,0.067933336,0.064,0.89636666,0.8948,0.8972,0.2700149104702374
alpha_post=8269.535156745107/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.0368427,1092.0556640625,598.6481,2070.5974,176.72305,556.6167,0.36439192,0.22866666,0.22486667,0.2219,0.07343333,0.06973334,0.066,0.3540065040459152
alpha_post=2279.5070569547775/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.00049638504,1.666168212890625,123.73789,448.58163,123.10563,446.2832,0.9032541,0.8875,0.8872333,0.8863,0.90363336,0.9014,0.9031,0.8971987948785616
alpha_post=2279.5070569547775/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.13367376,3996.9873046875,370.53787,4875.428,48.713917,556.6167,1.1460283,0.8875,0.8872,0.8863,0.07343333,0.06973334,0.066,0.9849246275469268
alpha_post=2279.5070569547775/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.00051537814,2.2359619140625,123.73789,1627.3536,123.512535,1624.8923,0.9035527,0.8875,0.8872333,0.8863,0.8929,0.8911333,0.8933,0.8973776261544373
alpha_post=2279.5070569547775/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.00044662663,0.1734161376953125,123.73789,9.395531,123.92465,9.408876,0.90244365,0.8875,0.8872333,0.8863,0.91746664,0.91713333,0.9253,0.8967124290281636
alpha_post=30000.00000000001/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.00044517958,0.1300048828125,1621.2605,447.51254,1620.1611,446.2832,0.8824528,0.8675333,0.873,0.8684,0.90363336,0.9014,0.9031,0.8774294677573229
alpha_post=60000.00000000002/alpha_prior=60000.00000000002/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.15108393,9051.4638671875,706.36285,0.0,9757.827,0.0,0.315249,0.0404,-1.0,0.0371,-1.0,-1.0,-1.0,0.2393526688679146
alpha_post=628.3487915845371/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.0011814141,22.217041015625,34.41133,1647.4744,34.046345,1624.8923,0.8819378,0.85763335,0.85513335,0.8554,0.8929,0.8911333,0.8933,0.8740503184494557
alpha_post=2279.5070569547775/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.00043540075,-0.163360595703125,123.73789,123.65208,123.694824,123.77237,0.90225464,0.8875,0.8872333,0.8863,0.89636666,0.8948,0.8972,0.8965988123186341
alpha_post=173.20508075688775/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.00043028244,-0.3169097900390625,9.402621,123.459305,9.398775,123.77237,0.896601,0.88193333,0.8824667,0.8805,0.89636666,0.8948,0.8972,0.8911796616130587
alpha_post=173.20508075688775/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.00043773738,-0.09326171875,9.402621,1624.8168,9.38492,1624.8923,0.89672756,0.88193333,0.8824667,0.8805,0.8929,0.8911333,0.8933,0.8912574987908952
alpha_post=8269.535156745107/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.00046612788,0.758453369140625,448.38004,448.82205,446.59964,446.2832,0.9127664,0.8975,0.8966,0.8992,0.90363336,0.9014,0.9031,0.9065132698845226
alpha_post=8269.535156745107/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.00045469904,0.41558837890625,448.38004,34.1031,448.81097,34.118443,0.9125781,0.8975,0.8966,0.8992,0.89603335,0.89456666,0.8966,0.9064051061698222
alpha_post=173.20508075688775/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.00041194085,-0.867156982421875,28.126532,369.87994,28.171392,370.79196,0.8963517,0.882,0.8826,0.8805,0.89636666,0.8948,0.8972,0.8910494868055054
alpha_post=628.3487915845371/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.0004773118,1.0939712524414062,34.41133,125.18107,34.096603,123.77237,0.87308186,0.85763335,0.85513335,0.8554,0.89636666,0.8948,0.8972,0.8682006505043436
alpha_post=30000.00000000001/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.0037915215,100.520263671875,471.86935,487.8951,641.1112,556.6167,0.097140335,0.0536,0.053866666,0.0468,0.07343333,0.06973334,0.066,0.0754892781340098
alpha_post=628.3487915845371/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.00044347302,0.0788078308105468,34.41133,34.5063,34.10228,34.118443,0.87252414,0.85763335,0.85513335,0.8554,0.89603335,0.89456666,0.8966,0.8678271894815248
alpha_post=8269.535156745107/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.00054173724,3.0267333984375,448.38004,1628.224,448.07504,1624.8923,0.9139581,0.8975,0.8966,0.8992,0.8929,0.8911333,0.8933,0.9071959673235832
alpha_post=173.20508075688775/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.00043787877,-0.089019775390625,9.402621,34.031715,9.400331,34.118443,0.89672995,0.88193333,0.8824667,0.8805,0.89603335,0.89456666,0.8966,0.8912589687114938
alpha_post=2279.5070569547775/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.00043897537,-0.056121826171875,123.73789,34.084866,123.715355,34.118443,0.9023151,0.8875,0.8872333,0.8863,0.89603335,0.89456666,0.8966,0.8966351562546371
alpha_post=173.20508075688775/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.00044036657,-0.0143861770629882,9.402621,9.380886,9.416225,9.408876,0.8967719,0.88193333,0.8824667,0.8805,0.91746664,0.91713333,0.9253,0.8912847842469853
alpha_post=628.3487915845371/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.14269121,4267.5107421875,102.87071,4913.57,13.428049,556.6167,1.1302392,0.8631333,0.8613667,0.8598,0.07343333,0.06973334,0.066,0.9780643301811978
alpha_post=3833.6586254776325/alpha_prior=3833.6586254776325/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.00023492424,0.52349853515625,622.9461,0.0,623.4696,0.0,0.920488,0.90965,-1.0,0.9108,-1.0,-1.0,-1.0,0.9157357951160968
alpha_post=8269.535156745107/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.047348708,1407.23583984375,498.20276,36.1331,2020.4268,151.12125,0.26536474,0.1115,0.108333334,0.1025,0.5930333,0.5905,0.585,0.2313361479175173
alpha_post=628.3487915845371/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.00050375913,1.88739013671875,102.87071,373.35062,102.19944,370.79196,0.879004,0.8631333,0.8613667,0.8598,0.89636666,0.8948,0.8972,0.873797840916045
alpha_post=173.20508075688775/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.0112410635,324.00653076171875,28.126532,1341.8406,20.988626,1010.6961,0.9569702,0.882,0.8826,0.8805,0.40326667,0.3993,0.4029,0.9245914003765208
alpha_post=173.20508075688775/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.14333595,4286.85302734375,28.126532,4867.8945,3.701457,556.6167,1.1497087,0.882,0.8826,0.8805,0.07343333,0.06973334,0.066,0.984616081096032
alpha_post=628.3487915845371/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.00052986894,2.670684814453125,170.08507,170.0486,155.07889,152.37173,0.8735102,0.85723335,0.8573,0.8555,0.59026664,0.58746666,0.5797,0.8683678226164435
alpha_post=30000.00000000001/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.40669024,12187.4814453125,481.50995,39.363174,13668.186,1038.5575,0.48913804,0.0382,0.039033335,0.0351,0.9096,0.9097,0.9108,0.427482333252089
alpha_post=30000.00000000001/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.14429824,4315.7216796875,471.86935,10.218942,4879.583,102.2109,0.3222059,0.0536,0.053866666,0.0468,0.89596665,0.8946,0.8966,0.2563592305131612
alpha_post=628.3487915845371/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.0,-305.4652099609375,170.08507,616.89777,286.2796,1038.5575,0.85723335,0.85723335,0.8573,0.8555,0.9096,0.9097,0.9108,0.8572333460404227
alpha_post=60000.00000000002/alpha_prior=60000.00000000002/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.2575245,15437.896484375,821.8796,0.0,16259.776,0.0,0.39110124,0.032266665,-1.0,0.0317,-1.0,-1.0,-1.0,0.3124427105534597
alpha_post=2279.5070569547775/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.00047109512,0.907470703125,1028.574,1029.4814,1038.5575,1038.5575,0.91551423,0.9001667,0.9024,0.902,0.9096,0.9097,0.9108,0.9091166838447342
alpha_post=628.3487915845371/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.0004420322,0.03558349609375,102.87071,102.914536,102.20266,102.2109,0.8779999,0.8631333,0.8613667,0.8598,0.89596665,0.8946,0.8966,0.8731377202337645
alpha_post=3833.6586254776325/alpha_prior=3833.6586254776325/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.0,-692.0855712890625,1730.9928,0.0,1038.9072,0.0,0.90085,0.90085,-1.0,0.8991,-1.0,-1.0,-1.0,0.900849998736009
alpha_post=2279.5070569547775/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.00045718215,0.490081787109375,370.53787,28.148296,371.07132,28.191662,0.90261924,0.8875,0.8872,0.8863,0.9163,0.9159333,0.9234,0.8968178993651374
alpha_post=8269.535156745107/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.014972568,435.95166015625,741.75366,203.47694,1345.0204,370.79196,0.36789,0.28136668,0.28083333,0.2732,0.89636666,0.8948,0.8972,0.3629861869351474
alpha_post=8269.535156745107/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.0,-26.042724609375,498.20276,475.53833,768.54333,771.92163,0.1115,0.1115,0.108333334,0.1025,0.18336667,0.18433334,0.1817,0.1115000032712705
alpha_post=244.94897427831785/alpha_prior=244.94897427831785/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.00022574735,-0.0271148681640625,39.863274,0.0,39.83616,0.0,0.9221076,0.91148335,-1.0,0.9124,-1.0,-1.0,-1.0,0.9173949676952016
alpha_post=2279.5070569547775/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.0004368127,-0.121002197265625,370.53787,370.45242,370.7564,370.79196,0.90227854,0.8875,0.8872,0.8863,0.89636666,0.8948,0.8972,0.8966131856077157
alpha_post=628.3487915845371/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.04558602,1354.355224609375,170.08507,2237.965,58.396675,771.92163,1.0082068,0.85723335,0.8573,0.8555,0.18336667,0.18433334,0.1817,0.9405660844854378
alpha_post=628.3487915845371/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.0004272589,-0.4076156616210937,102.87071,28.36851,102.286255,28.191662,0.8777494,0.8631333,0.8613667,0.8598,0.9163,0.9159333,0.9234,0.872972699368288
alpha_post=969.0463085136714/alpha_prior=969.0463085136714/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.0019114702,101.1162567138672,161.49168,0.0,262.60794,0.0,0.48266497,0.45175,-1.0,0.4423,-1.0,-1.0,-1.0,0.4826142632223612
alpha_post=173.20508075688775/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.00043393564,-0.2073135375976562,28.126532,101.95784,28.172283,102.2109,0.8967298,0.882,0.8826,0.8805,0.89596665,0.8946,0.8966,0.8912822272695657
alpha_post=30000.00000000001/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.22251566,6662.244140625,527.462,11.177088,7329.6504,151.12128,0.37285334,0.0393,0.040333334,0.0369,0.5930333,0.5905,0.585,0.2985924508078907
alpha_post=173.20508075688775/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.00044024395,-0.0180644989013671,28.126532,28.104801,28.195328,28.191662,0.8968365,0.882,0.8826,0.8805,0.9163,0.9159333,0.9234,0.8913478308076432
alpha_post=30000.00000000001/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.05496806,1635.81640625,527.462,147.09872,2788.1013,771.92163,0.20508307,0.0393,0.040333334,0.0369,0.18336667,0.18433334,0.1817,0.138221037553358
alpha_post=628.3487915845371/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.24076763,7209.80322265625,170.08507,8118.8315,18.90846,757.8516,1.204197,0.85723335,0.8573,0.8555,0.06773333,0.0611,0.06,0.9887815846344434
alpha_post=244.94897427831785/alpha_prior=244.94897427831785/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.00022536665,-0.049957275390625,66.430214,0.0,66.38026,0.0,0.9219319,0.9113167,-1.0,0.9124,-1.0,-1.0,-1.0,0.917228601745252
alpha_post=173.20508075688775/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.00044052466,-0.0096435546875,46.907375,46.89773,46.97433,46.97433,0.8540079,0.83916664,0.8398333,0.8369,0.9148333,0.9149,0.9219,0.8498706575147992
alpha_post=30000.00000000001/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.25260213,7564.83837890625,527.462,3.080977,8136.1934,46.97433,0.3946886,0.0393,0.040333334,0.0369,0.9148333,0.9149,0.9219,0.3223432436435554
alpha_post=8269.535156745107/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.023359917,687.5720825195312,598.6481,43.368572,1345.0625,102.2109,0.33674052,0.22866666,0.22486667,0.2219,0.89596665,0.8946,0.8966,0.3269149101583743
alpha_post=173.20508075688775/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.25093234,7514.744140625,46.907375,8122.9253,4.2254915,565.4993,1.1933787,0.83916664,0.8398333,0.8369,0.0541,0.04586667,0.0473,0.9853842110421168
alpha_post=15166.394348316875/alpha_prior=15166.394348316875/batch_size=64/beta_post=0.7000000000000001/beta_prior=0.7000000000000001/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.08630773,5164.8916015625,588.6638,0.0,5753.555,0.0,0.26026842,0.052533332,-1.0,0.0539,-1.0,-1.0,-1.0,0.1959008075492825
alpha_post=30000.00000000001/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.022717472,668.2987670898438,471.86935,134.48885,1371.6653,365.98602,0.16017738,0.0536,0.053866666,0.0468,0.1416,0.14043333,0.1348,0.1152524991943228
alpha_post=3833.6586254776325/alpha_prior=3833.6586254776325/batch_size=64/beta_post=0.7000000000000001/beta_prior=0.7000000000000001/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.0,-952.1536865234376,2406.4985,0.0,1454.3448,0.0,0.89558333,0.89558333,-1.0,0.8972,-1.0,-1.0,-1.0,0.8955833323628952
alpha_post=2279.5070569547775/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.024161432,711.6175537109375,370.53787,1343.9174,104.22402,365.98602,0.9974123,0.8875,0.8872,0.8863,0.1416,0.14043333,0.1348,0.9444232319263736
alpha_post=2279.5070569547775/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.0,-378.673828125,1028.347,78.43056,618.217,46.97433,0.90176666,0.90176666,0.9035,0.9018,0.9148333,0.9149,0.9219,0.901766660024971
alpha_post=628.3487915845371/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.030917648,914.3040161132812,102.87071,1354.4313,28.729479,365.98602,0.9874668,0.8631333,0.8613667,0.8598,0.1416,0.14043333,0.1348,0.93329815154965
alpha_post=2279.5070569547775/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.0,-338.00701904296875,1028.347,284.52832,556.933,151.12128,0.90176666,0.90176666,0.9035,0.9018,0.5930333,0.5905,0.585,0.901766660024971
alpha_post=173.20508075688775/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.00092162716,14.423431396484377,46.907375,170.13434,42.317753,151.12128,0.8606332,0.83916664,0.8398333,0.8369,0.5930333,0.5905,0.585,0.8545182624550236
alpha_post=628.3487915845371/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.00044841063,0.2269363403320312,170.08507,46.874092,170.41225,46.97433,0.8722068,0.85723335,0.8573,0.8555,0.9148333,0.9149,0.9219,0.8674950607753733
alpha_post=8269.535156745107/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_gap/comp_prior=risk_gap/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.024161123,711.6082763671875,468.48065,1689.0912,248.8493,757.8516,0.21784493,0.107933335,0.10733333,0.1033,0.06773333,0.0611,0.06,0.1883159935300623
