,bound,comp,comp_post_post,comp_post_prior,comp_prior_post,comp_prior_prior,comp_sgd_post,comp_sgd_prior,mcallester,risk_post_post,risk_post_prior,risk_post_test,risk_prior_post,risk_prior_prior,risk_prior_test,risk_sgd_post,risk_sgd_prior,risk_sgd_test,seeger
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_128_5_0001.h5/prior=0.0/seed=10,0.16966286,10166.19921875,1.2603866,0.0,10167.46,0.0,10084.557,0.0,0.4404417,0.14918333,-1,0.1408,-1,-1,-1,0.019133333,-1,0.0212,0.418262214861377
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_64_1_0001.h5/prior=0.0/seed=10,0.27852347,16697.8359375,19.117188,0.0,16716.953,0.0,0.0,0.0,0.3928279,0.01965,-1,0.0222,-1,-1,-1,0.019133333,-1,0.0212,0.301401340228575
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_256_1_0001.h5/prior=0.0/seed=10,0.01622124,959.7024536132812,2.349818,0.0,962.05225,0.0,572.7962,0.0,0.24367565,0.15361667,-1,0.1446,-1,-1,-1,0.019133333,-1,0.0212,0.2256650726518074
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_128_1_0001.h5/prior=0.0/seed=10,0.19982019,11975.638671875,69.132324,0.0,12044.771,0.0,0.0,0.0,0.3498689,0.03378333,-1,0.0344,-1,-1,-1,0.019133333,-1,0.0212,0.2693025376087004
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_256_5_001.h5/prior=0.0/seed=10,0.066488415,3975.732666015625,1.3104521,0.0,3977.0432,0.0,262762.28,0.0,0.41817993,0.23585,-1,0.2288,-1,-1,-1,0.019133333,-1,0.0212,0.4089741410758645
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_64_5_001.h5/prior=0.0/seed=10,0.1809739,10844.861328125,0.6235239,0.0,10845.484,0.0,2409841.0,0.0,0.32102716,0.020216666,-1,0.0217,-1,-1,-1,0.019133333,-1,0.0212,0.2249655764847086
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_128_3_0001.h5/prior=0.0/seed=10,0.3073163,18425.40625,132.7461,0.0,18558.152,0.0,0.0,0.0,0.41330922,0.021316666,-1,0.0236,-1,-1,-1,0.019133333,-1,0.0212,0.3263086930897637
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_128_3_001.h5/prior=0.0/seed=10,67484.63,4049078016.0,0.56377864,0.0,4049078000.0,0.0,11811547.0,0.0,183.71075,0.01995,-1,0.0221,-1,-1,-1,0.019133333,-1,0.0212,0.9999999990872572
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_256_1_001.h5/prior=0.0/seed=10,0.2430214,14567.7119140625,0.6121212,0.0,14568.324,0.0,9301.093,0.0,0.38285053,0.034266666,-1,0.0353,-1,-1,-1,0.019133333,-1,0.0212,0.3051801234249837
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_64_3_0001.h5/prior=0.0/seed=10,1.1885297,71298.2109375,142.38281,0.0,71440.59,0.0,0.0,0.0,0.79055244,0.019666666,-1,0.0222,-1,-1,-1,0.019133333,-1,0.0212,0.7287474150262966
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_256_5_0001.h5/prior=0.0/seed=10,0.2787446,16711.103515625,0.08258653,0.0,16711.186,0.0,45541.438,0.0,0.5431427,0.16981667,-1,0.1638,-1,-1,-1,0.019133333,-1,0.0212,0.5298062522129934
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_128_5_0001.h5/prior=0.0/seed=10,0.0008535593,37.6416015625,45.26172,0.0,82.90332,0.0,0.0,0.0,0.04204198,0.021383334,-1,0.0237,-1,-1,-1,0.019133333,-1,0.0212,0.0279140702394511
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_64_3_001.h5/prior=0.0/seed=10,0.0,-513026.5625,520728.84,0.0,7702.297,0.0,27426400.0,0.0,0.025716666,0.025716666,-1,0.0252,-1,-1,-1,0.019133333,-1,0.0212,0.0257166670395837
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_256_3_001.h5/prior=0.0/seed=10,0.04120414,2458.67626953125,0.21188027,0.0,2458.8882,0.0,114650.4,0.0,0.16316755,0.019633334,-1,0.0221,-1,-1,-1,0.019133333,-1,0.0212,0.0877519693368671
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_dist_l2/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=20,8.732332,523926.34375,150.75,0.0,524077.1,0.0,0.0,0.0,2.1205041,0.030966667,-1,0.0325,-1,-1,-1,0.025,-1,0.0263,0.9998941920353652
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_256_1_001.h5/prior=0.0/seed=10,0.08725816,5221.91796875,45.313477,0.0,5267.2314,0.0,0.0,0.0,0.22852574,0.01965,-1,0.0222,-1,-1,-1,0.019133333,-1,0.0212,0.1374298630158513
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_128_5_001.h5/prior=0.0/seed=10,2.1385522,128299.5546875,0.3425308,0.0,128299.9,0.0,252379.9,0.0,1.2074581,0.1734,-1,0.1818,-1,-1,-1,0.13088334,-1,0.1393,0.9565366707514908
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_256_5_0001.h5/prior=0.0/seed=10,0.48045132,28813.505859375,16.746094,0.0,28830.252,0.0,0.0,0.0,0.5097782,0.01965,-1,0.0222,-1,-1,-1,0.019133333,-1,0.0212,0.4356254037949275
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_64_5_001.h5/prior=0.0/seed=10,39.982605,2398942.75,52.75,0.0,2398995.5,0.0,0.0,0.0,4.490297,0.019133333,-1,0.0212,-1,-1,-1,0.019133333,-1,0.0212,0.9999999990864968
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_256_3_001.h5/prior=0.0/seed=10,1.8682672,112082.4609375,109.046875,0.0,112191.51,0.0,0.0,0.0,0.98567253,0.019166667,-1,0.0213,-1,-1,-1,0.019133333,-1,0.0212,0.8644696167716013
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_256_5_001.h5/prior=0.0/seed=10,4.312831,258756.265625,28.96875,0.0,258785.23,0.0,0.0,0.0,1.4876406,0.019166667,-1,0.0219,-1,-1,-1,0.019133333,-1,0.0212,0.9888187747705628
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_256_3_0001.h5/prior=0.0/seed=10,0.779488,46755.7109375,0.12228381,0.0,46755.832,0.0,2326.975,0.0,0.75542814,0.13113333,-1,0.1399,-1,-1,-1,0.12615,-1,0.1335,0.7263927895509483
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_64_3_001.h5/prior=0.0/seed=10,529140.44,31748425728.0,8.114467,0.0,31748426000.0,0.0,18854100000.0,0.0,515.2639,0.9,-1,0.9,-1,-1,-1,0.12615,-1,0.1335,0.9999999992549418
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=sum_fro/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=20,2.821421,169271.671875,9431.644,0.0,178703.31,0.0,2801529.0,0.0,2.0884333,0.9007,-1,0.8968,-1,-1,-1,0.022316666,-1,0.022,0.9999999992601571
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_param_norm/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=20,204.69704,12281808.0,44.0,0.0,12281852.0,0.0,0.0,0.0,10.138927,0.022183333,-1,0.0218,-1,-1,-1,0.022316666,-1,0.022,0.9999999990893372
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_64_5_0001.h5/prior=0.0/seed=10,1.7516067,105082.828125,136.55469,0.0,105219.38,0.0,0.0,0.0,1.0624436,0.1266,-1,0.1346,-1,-1,-1,0.12615,-1,0.1335,0.911702066344916
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_l2/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=20,7.7840295,467028.1875,16768.232,0.0,483796.4,0.0,986840.9,0.0,2.8663857,0.89356667,-1,0.8929,-1,-1,-1,0.022316666,-1,0.022,0.99999999920701
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_64_3_0001.h5/prior=0.0/seed=10,0.00064042874,24.853769302368164,2.5907636,0.0,27.444532,0.0,14990.507,0.0,0.18542787,0.16753334,-1,0.1789,-1,-1,-1,0.12615,-1,0.1335,0.1811798161940291
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_128_3_001.h5/prior=0.0/seed=10,67287.77,4037266432.0,128.0,0.0,4037266400.0,0.0,0.0,0.0,183.44183,0.019133333,-1,0.0212,-1,-1,-1,0.019133333,-1,0.0212,0.9999999990864968
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_64_3_001.h5/prior=0.0/seed=10,0.0,-7368.0,27426066.0,0.0,27418698.0,0.0,0.0,0.0,0.9012833,0.9012833,-1,0.902,-1,-1,-1,0.019133333,-1,0.0212,0.9012833259712908
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_128_1_0001.h5/prior=0.0/seed=10,0.36592168,21941.728515625,307.7145,0.0,22249.443,0.0,0.0,0.0,0.55905586,0.13131666,-1,0.14,-1,-1,-1,0.12615,-1,0.1335,0.5395928590909165
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_256_5_0001.h5/prior=0.0/seed=10,1.034712,62069.14453125,0.11904188,0.0,62069.26,0.0,10.306098,0.0,0.85250795,0.13323334,-1,0.1452,-1,-1,-1,0.13088334,-1,0.1393,0.8005898698294249
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_256_5_0001.h5/prior=0.0/seed=10,1.0344754,62054.95703125,4.0004663,0.0,62058.957,0.0,0.0,0.0,0.8524757,0.13328333,-1,0.1452,-1,-1,-1,0.13088334,-1,0.1393,0.8005722866425025
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_64_5_0001.h5/prior=0.0/seed=10,0.08809029,5271.845703125,0.12759414,0.0,5271.973,0.0,110491.36,0.0,0.37721935,0.16735,-1,0.1773,-1,-1,-1,0.12615,-1,0.1335,0.3565988054149902
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_256_3_001.h5/prior=0.0/seed=10,2.3538496,141217.40625,62.546875,0.0,141279.95,0.0,0.0,0.0,1.2114283,0.12656666,-1,0.1346,-1,-1,-1,0.12615,-1,0.1335,0.9559865964288584
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_128_3_0001.h5/prior=0.0/seed=10,0.026443271,1573.0242919921875,0.14205371,0.0,1573.1664,0.0,182945.69,0.0,0.81283534,0.69785,-1,0.7041,-1,-1,-1,0.12615,-1,0.1335,0.7953205320207886
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_fro/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=20,64.9503,3897004.75,3978.9565,0.0,3900983.8,0.0,16230919.0,0.0,6.6019306,0.90323335,-1,0.9049,-1,-1,-1,0.022316666,-1,0.022,0.9999999992790324
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_path_norm/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=20,16794.523,1007671360.0,192.0,0.0,1007671550.0,0.0,0.0,0.0,91.65889,0.022316666,-1,0.022,-1,-1,-1,0.022316666,-1,0.022,0.9999999990894616
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_sum_fro/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=20,43.709698,2622568.25,257.5,0.0,2622825.8,0.0,0.0,0.0,4.6971006,0.022183333,-1,0.0219,-1,-1,-1,0.022316666,-1,0.022,0.9999999990893372
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_256_3_0001.h5/prior=0.0/seed=10,0.3386466,20305.22265625,67.38281,0.0,20372.605,0.0,0.0,0.0,0.54307246,0.13158333,-1,0.14,-1,-1,-1,0.13088334,-1,0.1393,0.5229410552101434
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_64_1_001.h5/prior=0.0/seed=10,0.007159533,416.0,363820320.0,0.0,363820740.0,0.0,0.0,0.0,0.96111447,0.9012833,-1,0.902,-1,-1,-1,0.019133333,-1,0.0212,0.9331417276288008
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_dist_fro/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=20,205.496,12329746.0,189.0,0.0,12329935.0,0.0,0.0,0.0,10.158652,0.022183333,-1,0.0218,-1,-1,-1,0.022316666,-1,0.022,0.9999999990893372
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_128_5_0001.h5/prior=0.0/seed=10,0.73761797,44243.5078125,1.4009148,0.0,44244.91,0.0,356751.38,0.0,0.9691131,0.36181667,-1,0.3585,-1,-1,-1,0.12615,-1,0.1335,0.878503253109622
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_64_3_0001.h5/prior=0.0/seed=10,0.24855119,14899.4990234375,63.563477,0.0,14963.0625,0.0,0.0,0.0,0.4794941,0.12696667,-1,0.1351,-1,-1,-1,0.12615,-1,0.1335,0.4544289848160734
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=param_norm/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=20,31.701963,1902104.125,3978.9565,0.0,1906083.1,0.0,14187935.0,0.0,4.8821793,0.90085,-1,0.8991,-1,-1,-1,0.022316666,-1,0.022,0.9999999992612748
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_128_1_0001.h5/prior=0.0/seed=10,0.38149327,22876.0234375,4.0077314,0.0,22880.031,0.0,370022.12,0.0,0.5733622,0.13661666,-1,0.1432,-1,-1,-1,0.13151667,-1,0.1388,0.5554506617622681
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_256_5_001.h5/prior=0.0/seed=10,0.619691,37167.890625,0.21044452,0.0,37168.1,0.0,118424.445,0.0,0.7286711,0.17203334,-1,0.1838,-1,-1,-1,0.12615,-1,0.1335,0.7080592201904086
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=path_norm/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=20,1.6221164,97313.4140625,588.09674,0.0,97901.51,0.0,1007769500.0,0.0,1.723471,0.8228833,-1,0.8223,-1,-1,-1,0.022316666,-1,0.022,0.9999924576993772
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_128_1_001.h5/prior=0.0/seed=10,0.0,-70995812352.0,70995830000.0,0.0,15184.564,0.0,2067408500000.0,0.0,0.90403336,0.90403336,-1,0.9043,-1,-1,-1,0.12615,-1,0.1335,0.9040333650104696
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_256_3_001.h5/prior=0.0/seed=10,0.47414625,28435.203125,0.8213021,0.0,28436.025,0.0,169716.16,0.0,0.6527349,0.16583334,-1,0.1774,-1,-1,-1,0.12615,-1,0.1335,0.6386007786545413
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_64_5_001.h5/prior=0.0/seed=10,0.0,-4776625152.0,4776625700.0,0.0,399.97623,0.0,984888970000.0,0.0,0.86943334,0.86943334,-1,0.8699,-1,-1,-1,0.13151667,-1,0.1388,0.8694333463288841
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_256_1_0001.h5/prior=0.0/seed=10,0.2746493,16465.384765625,0.13526656,0.0,16465.52,0.0,9990.112,0.0,0.5017234,0.13115,-1,0.1397,-1,-1,-1,0.12615,-1,0.1335,0.4791348252704885
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_128_5_001.h5/prior=0.0/seed=10,2.662772,159752.734375,38.84375,0.0,159791.58,0.0,0.0,0.0,1.2804403,0.12658334,-1,0.1346,-1,-1,-1,0.12615,-1,0.1335,0.9691628331399684
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_256_1_001.h5/prior=0.0/seed=10,0.034153424,2035.6334228515625,1.6675266,0.0,2037.3009,0.0,205093360.0,0.0,1.0306612,0.89998335,-1,0.9,-1,-1,-1,0.12615,-1,0.1335,0.960376318387234
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_128_5_0001.h5/prior=0.0/seed=10,5.2085185,312497.53125,8.9375,0.0,312506.47,0.0,0.0,0.0,1.7403551,0.12658334,-1,0.1347,-1,-1,-1,0.12615,-1,0.1335,0.9983351685351464
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_128_3_0001.h5/prior=0.0/seed=10,3.0228016,181354.515625,18.0,0.0,181372.52,0.0,0.0,0.0,1.355607,0.12621666,-1,0.1337,-1,-1,-1,0.12615,-1,0.1335,0.9795618865657804
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_128_3_001.h5/prior=0.0/seed=10,0.0,-56270381056.0,56270393000.0,0.0,11446.391,0.0,20608457000000.0,0.0,0.9133667,0.9133667,-1,0.9122,-1,-1,-1,0.12615,-1,0.1335,0.9133666786042348
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_256_1_0001.h5/prior=0.0/seed=10,0.107722506,6449.7783203125,25.628906,0.0,6475.407,0.0,0.0,0.0,0.35868025,0.1266,-1,0.1346,-1,-1,-1,0.12615,-1,0.1335,0.3272266926869553
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_64_1_001.h5/prior=0.0/seed=20,39018.92,2341135360.0,59.75,0.0,2341135400.0,0.0,0.0,0.0,139.70126,0.025,-1,0.0264,-1,-1,-1,0.025,-1,0.0263,0.9999999990919604
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_128_5_0001.h5/prior=0.0/seed=20,0.14334615,8587.1962890625,0.38191238,0.0,8587.578,0.0,119163.73,0.0,0.49516827,0.22745,-1,0.2211,-1,-1,-1,0.025,-1,0.0263,0.4872053217675058
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_64_5_001.h5/prior=0.0/seed=10,243.6231,14617371.0,14.0,0.0,14617385.0,0.0,0.0,0.0,11.162977,0.12615,-1,0.1335,-1,-1,-1,0.12615,-1,0.1335,0.9999999991861638
