,bound,comp,comp_post_post,comp_post_prior,comp_prior_post,comp_prior_prior,comp_sgd_post,comp_sgd_prior,mcallester,risk_post_post,risk_post_prior,risk_post_test,risk_prior_post,risk_prior_prior,risk_prior_test,risk_sgd_post,risk_sgd_prior,risk_sgd_test,seeger
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_64_5_0001.h5/prior=0.0/seed=0,0.46401036,27827.048828125,0.15345682,0.0,27827.203,0.0,16164.191,0.0,0.5272358,0.045566667,-1,0.0438,-1,-1,-1,0.035766665,-1,0.0345,0.4751982592957919
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_64_1_001.h5/prior=0.0/seed=0,27.447287,1646823.5,84.5,0.0,1646908.0,0.0,0.0,0.0,3.7259102,0.021366667,-1,0.0222,-1,-1,-1,0.021366667,-1,0.0222,0.9999999990885766
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_64_3_0001.h5/prior=0.0/seed=0,0.22305173,13369.53125,20.175781,0.0,13389.707,0.0,0.0,0.0,0.36862153,0.034666665,-1,0.0334,-1,-1,-1,0.035766665,-1,0.0345,0.290103748809304
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_64_5_001.h5/prior=0.0/seed=0,0.3725896,22341.802734375,0.0036249007,0.0,22341.807,0.0,26586990.0,0.0,0.4820688,0.05045,-1,0.0476,-1,-1,-1,0.035766665,-1,0.0345,0.42746807174758
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_256_1_0001.h5/prior=0.0/seed=0,0.006161321,356.1072998046875,0.34108183,0.0,356.4484,0.0,30920.37,0.0,0.30822036,0.25271666,-1,0.2471,-1,-1,-1,0.035766665,-1,0.0345,0.3028538491551562
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_256_5_0001.h5/prior=0.0/seed=0,0.07701394,4607.2646484375,1.5555899,0.0,4608.8203,0.0,32817.164,0.0,0.47381526,0.27758333,-1,0.2708,-1,-1,-1,0.035766665,-1,0.0345,0.4692762811711102
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_256_3_0001.h5/prior=0.0/seed=0,0.0026191114,143.57472229003906,7.66149,0.0,151.2362,0.0,447.4541,0.0,0.29745448,0.26126668,-1,0.254,-1,-1,-1,0.035766665,-1,0.0345,0.2938592643484684
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_256_3_0001.h5/prior=0.0/seed=0,0.0045442875,259.0852966308594,37.1326,0.0,296.2179,0.0,0.0,0.0,0.30328366,0.25561666,-1,0.2483,-1,-1,-1,0.035766665,-1,0.0345,0.2985974245727387
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_128_1_0001.h5/prior=0.0/seed=0,0.002425172,131.9383544921875,147.8219,0.0,279.76025,0.0,0.0,0.0,0.27693886,0.24211666,-1,0.2362,-1,-1,-1,0.035766665,-1,0.0345,0.2727521449307387
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_64_5_0001.h5/prior=0.0/seed=0,0.045914013,2741.268798828125,0.00460583,0.0,2741.2734,0.0,17551.305,0.0,0.3081657,0.15665,-1,0.1677,-1,-1,-1,0.14161667,-1,0.1528,0.2856789654739757
